epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4016,1.05919,1.98888,0.99481,0.55002,0.56273,0.52648,0.36184,1.42693,1.43126,1.01685,0.07327,0.00027,0.00027
2,24.4537,0.87901,1.28219,0.93421,0.46953,0.64091,0.52428,0.36697,1.24809,1.58656,1.01165,0.0455446,0.000544555,0.000544555
3,34.3616,0.84438,1.11962,0.92225,0.60362,0.62769,0.66304,0.45983,1.26063,1.31166,1.00821,0.0178136,0.000813566,0.000813566
4,44.5675,0.84536,1.12102,0.92412,0.50594,0.54291,0.48519,0.32836,1.28071,1.64383,1.02652,0.0009703,0.0009703,0.0009703
5,54.8037,0.86452,1.08087,0.9227,0.4451,0.71558,0.59051,0.41194,1.22019,1.24289,1.00567,0.0009604,0.0009604,0.0009604
6,64.8972,0.86484,1.0203,0.93527,0.60921,0.54729,0.61218,0.41879,1.23252,1.26854,0.99553,0.0009505,0.0009505,0.0009505
7,75.4612,0.81967,1.00036,0.92158,0.49699,0.67707,0.61329,0.42448,1.25961,1.36675,0.97324,0.0009406,0.0009406,0.0009406
8,85.3391,0.81931,0.9841,0.91555,0.40217,0.68342,0.48875,0.33739,1.22478,1.3042,0.97057,0.0009307,0.0009307,0.0009307
9,95.3165,0.80555,0.93207,0.91217,0.59851,0.55306,0.59588,0.42365,1.23973,1.16783,0.99947,0.0009208,0.0009208,0.0009208
10,105.201,0.7881,0.93264,0.90443,0.57068,0.6701,0.64731,0.43148,1.22179,1.12404,0.98768,0.0009109,0.0009109,0.0009109
11,115.023,0.79605,0.91272,0.90499,0.36904,0.66707,0.41003,0.2865,1.17925,1.48655,0.9838,0.000901,0.000901,0.000901
12,124.846,0.80584,0.90035,0.90616,0.47635,0.64804,0.51383,0.35772,1.20873,1.26695,0.99833,0.0008911,0.0008911,0.0008911
13,134.697,0.78805,0.92833,0.90302,0.46663,0.66722,0.51148,0.34301,1.21573,1.27504,0.9768,0.0008812,0.0008812,0.0008812
